AMC,schemeCode,schemeCategory,schemeSubCategory,schemeName,Plan,Option
360 ONE Asset Management Limited,122717,Debt Scheme,Dynamic Bond,360 ONE Dynamic Bond Fund - Direct IDCW,Direct,IDCW
360 ONE Asset Management Limited,122712,Debt Scheme,Dynamic Bond,360 ONE Dynamic Bond Fund - Regular IDCW,Regular,IDCW
360 ONE Asset Management Limited,151796,Equity Scheme,Flexi Cap Fund,360 ONE Flexicap Fund - Regular Growth,Regular,Growth
360 ONE Asset Management Limited,151797,Equity Scheme,Flexi Cap Fund,360 ONE Flexicap Fund - Regular IDCW,Regular,IDCW
360 ONE Asset Management Limited,125259,Debt Scheme,Liquid Fund,360 ONE Liquid Fund - Regular Growth,Regular,Growth
360 ONE Asset Management Limited,125337,Debt Scheme,Liquid Fund,360 ONE Liquid Fund - Regular IDCW,Regular,IDCW
360 ONE Asset Management Limited,149317,Equity Scheme,Sectoral/ Thematic,360 ONE QUANT FUND - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,112087,Hybrid Scheme,Arbitrage Fund,ADITYA BIRLA SUN LIFE ARBITRAGE FUND - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,146407,Solution Oriented Scheme,Children s Fund,ADITYA BIRLA SUN LIFE BAL BHAVISHYA YOJNA - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,131665,Hybrid Scheme,Dynamic Asset Allocation or Balanced Advantage,Aditya Birla Sun Life Balanced Advantage Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,103176,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,106157,Debt Scheme,Banking and PSU Fund,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,125596,Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life Banking and Financial Services Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,103110,Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life Consumption Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,103183,Debt Scheme,Corporate Bond Fund,Aditya Birla Sun Life Corporate Bond Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,103167,Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life Digital India Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,101737,Equity Scheme,Dividend Yield Fund,Aditya Birla Sun Life Dividend Yield Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,119502,Debt Scheme,Dynamic Bond,Aditya Birla Sun Life Dynamic Bond Fund - No. of Segregated Portfolio - 1 - Direct IDCW,Direct,IDCW
Aditya Birla Sun Life AMC Limited,102767,Debt Scheme,Dynamic Bond,Aditya Birla Sun Life Dynamic Bond Fund - No. of Segregated Portfolio - 1 - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,102766,Debt Scheme,Dynamic Bond,Aditya Birla Sun Life Dynamic Bond Fund - No. of Segregated Portfolio - 1 - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,103164,Equity Scheme,ELSS,Aditya Birla Sun Life ELSS Tax Saver Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,103154,Hybrid Scheme,Aggressive Hybrid Fund,Aditya Birla Sun Life Equity Hybrid '95 Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,103165,Equity Scheme,Flexi Cap Fund,Aditya Birla Sun Life Flexi Cap Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,122645,Debt Scheme,Floater Fund,Aditya Birla Sun Life Floating Rate Fund - Direct IDCW,Direct,IDCW
Aditya Birla Sun Life AMC Limited,122644,Debt Scheme,Floater Fund,Aditya Birla Sun Life Floating Rate Fund - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,122643,Debt Scheme,Floater Fund,Aditya Birla Sun Life Floating Rate Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,132003,Other Scheme,FoF Overseas,Aditya Birla Sun Life Global Excellence Equity Fund Of Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,116795,Other Scheme,FoF Domestic,Aditya Birla Sun Life Gold Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,100057,Debt Scheme,Gilt Fund,Aditya Birla Sun Life Government Securities Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,119655,Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Direct IDCW,Direct,IDCW
Aditya Birla Sun Life AMC Limited,100038,Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,100037,Debt Scheme,Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,131895,Other Scheme,FoF Domestic,Aditya Birla Sun Life Income Plus Arbitrage Active FOF - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,103173,Equity Scheme,Large Cap Fund,Aditya Birla Sun Life Large Cap Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,119569,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund - Direct IDCW,Direct,IDCW
Aditya Birla Sun Life AMC Limited,100042,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,100041,Debt Scheme,Liquid Fund,Aditya Birla Sun Life Liquid Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,119522,Debt Scheme,Low Duration Fund,Aditya Birla Sun Life Low Duration Fund - Direct IDCW,Direct,IDCW
Aditya Birla Sun Life AMC Limited,103192,Debt Scheme,Low Duration Fund,Aditya Birla Sun Life Low Duration Fund - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,103191,Debt Scheme,Low Duration Fund,Aditya Birla Sun Life Low Duration Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,111803,Debt Scheme,Medium Duration Fund,Aditya Birla Sun Life Medium Term Plan - No. of Segregated Portfolio - 1 - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,111809,Debt Scheme,Medium Duration Fund,Aditya Birla Sun Life Medium Term Plan - No. of Segregated Portfolio - 1 - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,101591,Equity Scheme,Mid Cap Fund,Aditya Birla Sun Life Midcap Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,100063,Equity Scheme,Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,119513,Debt Scheme,Money Market Fund,Aditya Birla Sun Life Money Manager Fund - Direct IDCW,Direct,IDCW
Aditya Birla Sun Life AMC Limited,101971,Debt Scheme,Money Market Fund,Aditya Birla Sun Life Money Manager Fund - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,101970,Debt Scheme,Money Market Fund,Aditya Birla Sun Life Money Manager Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,131866,Other Scheme,FoF Domestic,Aditya Birla Sun Life Multi Asset Omni FoF - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,101313,Other Scheme,Index Funds,Aditya Birla Sun Life Nifty 50 Index Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,145489,Debt Scheme,Overnight Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND - Direct IDCW,Direct,IDCW
Aditya Birla Sun Life AMC Limited,145481,Debt Scheme,Overnight Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,145482,Debt Scheme,Overnight Fund,ADITYA BIRLA SUN LIFE OVERNIGHT FUND - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,101816,Hybrid Scheme,Conservative Hybrid Fund,Aditya Birla Sun Life Regular Savings Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,101316,Debt Scheme,Ultra Short Duration Fund,Aditya Birla Sun Life Savings Fund - Regular Growth,Regular,Growth
Aditya Birla Sun Life AMC Limited,105881,Debt Scheme,Ultra Short Duration Fund,Aditya Birla Sun Life Savings Fund - Regular IDCW,Regular,IDCW
Aditya Birla Sun Life AMC Limited,101843,Debt Scheme,Short Duration Fund,Aditya Birla Sun Life Short Term Fund - Regular IDCW,Regular,IDCW
Angel One Asset Management Company Limited,153827,Other Scheme,FoF Domestic,ANGEL ONE GOLD ETF FOF - Regular Growth,Regular,Growth
Angel One Asset Management Company Limited,153529,Other Scheme,Index Funds,ANGEL ONE NIFTY 50 INDEX FUND - Regular Growth,Regular,Growth
Angel One Asset Management Company Limited,153330,Other Scheme,Index Funds,ANGEL ONE NIFTY TOTAL MARKET INDEX FUND - Regular Growth,Regular,Growth
Axis Asset Management Co. Ltd.,144395,Hybrid Scheme,Aggressive Hybrid Fund,Axis Aggressive Hybrid Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,144396,Hybrid Scheme,Aggressive Hybrid Fund,Axis Aggressive Hybrid Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,120436,Debt Scheme,Banking and PSU Fund,Axis Banking & PSU Debt Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,117447,Debt Scheme,Banking and PSU Fund,Axis Banking & PSU Debt Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,135762,Solution Oriented Scheme,Children s Fund,Axis Children's Fund - Direct Growth,Direct,Growth
Axis Asset Management Co. Ltd.,135763,Solution Oriented Scheme,Children s Fund,Axis Children's Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,135759,Solution Oriented Scheme,Children s Fund,Axis Children's Fund - Regular Growth,Regular,Growth
Axis Asset Management Co. Ltd.,135760,Solution Oriented Scheme,Children s Fund,Axis Children's Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,112925,Hybrid Scheme,Conservative Hybrid Fund,Axis Conservative Hybrid Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,141586,Debt Scheme,Corporate Bond Fund,AXIS Corporate Bond Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,141589,Debt Scheme,Corporate Bond Fund,AXIS Corporate Bond Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,130311,Debt Scheme,Credit Risk Fund,Axis Credit Risk Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,130313,Debt Scheme,Credit Risk Fund,Axis Credit Risk Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,151433,Other Scheme,Index Funds,Axis Crisil IBX 50 50 Gilt Plus SDL September 2027 Index Fund - Regular Growth,Regular,Growth
Axis Asset Management Co. Ltd.,151434,Other Scheme,Index Funds,Axis Crisil IBX 50 50 Gilt Plus SDL September 2027 Index Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,120450,Debt Scheme,Dynamic Bond,Axis Dynamic Bond Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,115069,Debt Scheme,Dynamic Bond,Axis Dynamic Bond Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,139520,Hybrid Scheme,Equity Savings,Axis Equity Savings Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,139521,Hybrid Scheme,Equity Savings,Axis Equity Savings Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,149052,Debt Scheme,Floater Fund,Axis Floater Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,149053,Debt Scheme,Floater Fund,Axis Floater Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,120448,Debt Scheme,Gilt Fund,Axis Gilt Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,116470,Debt Scheme,Gilt Fund,Axis Gilt Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,147891,Other Scheme,FoF Domestic,Axis Income Plus Arbitrage Active FOF - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,147888,Other Scheme,FoF Domestic,Axis Income Plus Arbitrage Active FOF - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,120391,Debt Scheme,Liquid Fund,Axis Liquid Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,112210,Debt Scheme,Liquid Fund,Axis Liquid Fund - Regular Growth,Regular,Growth
Axis Asset Management Co. Ltd.,112211,Debt Scheme,Liquid Fund,Axis Liquid Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,151176,Debt Scheme,Long Duration Fund,Axis Long Duration Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,151177,Debt Scheme,Long Duration Fund,Axis Long Duration Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,147571,Debt Scheme,Money Market Fund,Axis Money Market Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,147574,Debt Scheme,Money Market Fund,Axis Money Market Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,146677,Debt Scheme,Overnight Fund,Axis Overnight Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,146680,Debt Scheme,Overnight Fund,Axis Overnight Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,120511,Debt Scheme,Short Duration Fund,Axis Short Duration Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,112354,Debt Scheme,Short Duration Fund,Axis Short Duration Fund - Regular Growth,Regular,Growth
Axis Asset Management Co. Ltd.,112355,Debt Scheme,Short Duration Fund,Axis Short Duration Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,120474,Debt Scheme,Medium Duration Fund,Axis Strategic Bond Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,116895,Debt Scheme,Medium Duration Fund,Axis Strategic Bond Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,120514,Debt Scheme,Low Duration Fund,Axis Treasury Advantage Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,112214,Debt Scheme,Low Duration Fund,Axis Treasury Advantage Fund - Regular Growth,Regular,Growth
Axis Asset Management Co. Ltd.,112215,Debt Scheme,Low Duration Fund,Axis Treasury Advantage Fund - Regular IDCW,Regular,IDCW
Axis Asset Management Co. Ltd.,144753,Debt Scheme,Ultra Short Duration Fund,Axis Ultra Short Duration Fund - Direct IDCW,Direct,IDCW
Axis Asset Management Co. Ltd.,144758,Debt Scheme,Ultra Short Duration Fund,Axis Ultra Short Duration Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,152163,Debt Scheme,Banking and PSU Fund,Bajaj Finserv Banking and PSU Fund - Direct IDCW,Direct,IDCW
Bajaj Finserv Asset Management Limited,152166,Debt Scheme,Banking and PSU Fund,Bajaj Finserv Banking and PSU Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,153072,Equity Scheme,Sectoral/ Thematic,Bajaj Finserv Consumption Fund - Regular Growth,Regular,Growth
Bajaj Finserv Asset Management Limited,153073,Equity Scheme,Sectoral/ Thematic,Bajaj Finserv Consumption Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,153201,Equity Scheme,ELSS,Bajaj Finserv ELSS Tax Saver Fund - Regular Growth,Regular,Growth
Bajaj Finserv Asset Management Limited,153200,Equity Scheme,ELSS,Bajaj Finserv ELSS Tax Saver Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,153758,Hybrid Scheme,Equity Savings,Bajaj Finserv Equity Savings Fund - Regular Growth,Regular,Growth
Bajaj Finserv Asset Management Limited,153770,Hybrid Scheme,Equity Savings,Bajaj Finserv Equity Savings Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,153155,Equity Scheme,Sectoral/ Thematic,Bajaj Finserv Healthcare Fund - Regular Growth,Regular,Growth
Bajaj Finserv Asset Management Limited,153156,Equity Scheme,Sectoral/ Thematic,Bajaj Finserv Healthcare Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,152780,Equity Scheme,Large Cap Fund,BAJAJ FINSERV LARGE CAP FUND - Regular Growth,Regular,Growth
Bajaj Finserv Asset Management Limited,152781,Equity Scheme,Large Cap Fund,BAJAJ FINSERV LARGE CAP FUND - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,151834,Debt Scheme,Liquid Fund,Bajaj Finserv Liquid Fund - Direct IDCW,Direct,IDCW
Bajaj Finserv Asset Management Limited,151839,Debt Scheme,Liquid Fund,Bajaj Finserv Liquid Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,151890,Debt Scheme,Money Market Fund,Bajaj Finserv Money Market Fund - Direct IDCW,Direct,IDCW
Bajaj Finserv Asset Management Limited,151891,Debt Scheme,Money Market Fund,Bajaj Finserv Money Market Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,153307,Equity Scheme,Multi Cap Fund,Bajaj Finserv Multi Cap Fund - Regular Growth,Regular,Growth
Bajaj Finserv Asset Management Limited,153306,Equity Scheme,Multi Cap Fund,Bajaj Finserv Multi Cap Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,151843,Debt Scheme,Overnight Fund,Bajaj Finserv Overnight Fund - Direct IDCW,Direct,IDCW
Bajaj Finserv Asset Management Limited,151846,Debt Scheme,Overnight Fund,Bajaj Finserv Overnight Fund - Regular IDCW,Regular,IDCW
Bajaj Finserv Asset Management Limited,153609,Equity Scheme,Small Cap Fund,Bajaj Finserv Small Cap Fund - Regular Growth,Regular,Growth
Bajaj Finserv Asset Management Limited,153610,Equity Scheme,Small Cap Fund,Bajaj Finserv Small Cap Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118475,Hybrid Scheme,Arbitrage Fund,BANDHAN Arbitrage Fund - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108845,Hybrid Scheme,Arbitrage Fund,BANDHAN Arbitrage Fund - Regular Growth,Regular,Growth
Bandhan AMC Limited,108844,Hybrid Scheme,Arbitrage Fund,BANDHAN Arbitrage Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,121281,Debt Scheme,Banking and PSU Fund,Bandhan Banking and PSU Fund - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,121282,Debt Scheme,Banking and PSU Fund,Bandhan Banking and PSU Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118393,Debt Scheme,Medium to Long Duration Fund,BANDHAN BOND FUND - INCOME PLAN - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108765,Debt Scheme,Medium to Long Duration Fund,BANDHAN BOND FUND - INCOME PLAN - Regular Growth,Regular,Growth
Bandhan AMC Limited,108763,Debt Scheme,Medium to Long Duration Fund,BANDHAN BOND FUND - INCOME PLAN - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,131384,Debt Scheme,Medium Duration Fund,BANDHAN BOND FUND - MEDIUM TERM PLAN - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108727,Debt Scheme,Medium Duration Fund,BANDHAN BOND FUND - MEDIUM TERM PLAN - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,143367,Debt Scheme,Short Duration Fund,BANDHAN BOND FUND - SHORT TERM PLAN - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108717,Debt Scheme,Short Duration Fund,BANDHAN BOND FUND - SHORT TERM PLAN - Regular Growth,Regular,Growth
Bandhan AMC Limited,108713,Debt Scheme,Short Duration Fund,BANDHAN BOND FUND - SHORT TERM PLAN - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118490,Hybrid Scheme,Conservative Hybrid Fund,BANDHAN CONSERVATIVE HYBRID FUND - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,112352,Hybrid Scheme,Conservative Hybrid Fund,BANDHAN CONSERVATIVE HYBRID FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,135917,Debt Scheme,Corporate Bond Fund,BANDHAN Corporate Bond Fund - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,135915,Debt Scheme,Corporate Bond Fund,BANDHAN Corporate Bond Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,140604,Debt Scheme,Credit Risk Fund,BANDHAN CREDIT RISK FUND - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,140605,Debt Scheme,Credit Risk Fund,BANDHAN CREDIT RISK FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,150871,Other Scheme,Index Funds,BANDHAN CRISIL IBX 90 10 SDL PLUS GILT - APRIL 2032 INDEX FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,150872,Other Scheme,Index Funds,BANDHAN CRISIL IBX 90 10 SDL PLUS GILT - APRIL 2032 INDEX FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,150868,Other Scheme,Index Funds,BANDHAN CRISIL IBX 90 10 SDL PLUS GILT - NOV 2026 INDEX FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,150867,Other Scheme,Index Funds,BANDHAN CRISIL IBX 90 10 SDL PLUS GILT - NOV 2026 INDEX FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,150888,Other Scheme,Index Funds,BANDHAN CRISIL IBX 90 10 SDL PLUS GILT - SEPTEMBER 2027 INDEX FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,150889,Other Scheme,Index Funds,BANDHAN CRISIL IBX 90 10 SDL PLUS GILT - SEPTEMBER 2027 INDEX FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,150744,Other Scheme,Index Funds,BANDHAN CRISIL IBX GILT APRIL 2026 INDEX FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,150745,Other Scheme,Index Funds,BANDHAN CRISIL IBX GILT APRIL 2026 INDEX FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,151408,Other Scheme,Index Funds,BANDHAN CRISIL IBX GILT APRIL 2032 INDEX FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,151410,Other Scheme,Index Funds,BANDHAN CRISIL IBX GILT APRIL 2032 INDEX FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118415,Debt Scheme,Dynamic Bond,BANDHAN Dynamic Bond Fund - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,111522,Debt Scheme,Dynamic Bond,BANDHAN Dynamic Bond Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118476,Hybrid Scheme,Equity Savings,BANDHAN EQUITY SAVINGS FUND - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108994,Hybrid Scheme,Equity Savings,BANDHAN EQUITY SAVINGS FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,108992,Hybrid Scheme,Equity Savings,BANDHAN EQUITY SAVINGS FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,151816,Equity Scheme,Sectoral/ Thematic,BANDHAN FINANCIAL SERVICES FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,151817,Equity Scheme,Sectoral/ Thematic,BANDHAN FINANCIAL SERVICES FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,148705,Debt Scheme,Floater Fund,BANDHAN FLOATER FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,148706,Debt Scheme,Floater Fund,BANDHAN FLOATER FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118388,Debt Scheme,Gilt Fund with 10 year constant duration,BANDHAN GSF - CONSTANT MATURITY PLAN - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108644,Debt Scheme,Gilt Fund with 10 year constant duration,BANDHAN GSF - CONSTANT MATURITY PLAN - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118463,Debt Scheme,Gilt Fund,BANDHAN GSF Investment Plan - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,111527,Debt Scheme,Gilt Fund,BANDHAN GSF Investment Plan - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118413,Other Scheme,FoF Domestic,Bandhan Income Plus Arbitrage Active FOF - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108544,Other Scheme,FoF Domestic,Bandhan Income Plus Arbitrage Active FOF - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118366,Debt Scheme,Liquid Fund,BANDHAN LIQUID Fund - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108691,Debt Scheme,Liquid Fund,BANDHAN LIQUID Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118368,Debt Scheme,Low Duration Fund,BANDHAN LOW DURATION FUND - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108633,Debt Scheme,Low Duration Fund,BANDHAN LOW DURATION FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,150402,Equity Scheme,Mid Cap Fund,BANDHAN MIDCAP FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,150401,Equity Scheme,Mid Cap Fund,BANDHAN MIDCAP FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,118383,Debt Scheme,Money Market Fund,Bandhan Money  Market Fund - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,108701,Debt Scheme,Money Market Fund,Bandhan Money  Market Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,149305,Equity Scheme,Multi Cap Fund,BANDHAN MULTI CAP FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,149302,Equity Scheme,Multi Cap Fund,BANDHAN MULTI CAP FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,149832,Other Scheme,Index Funds,BANDHAN NIFTY 100 INDEX FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,149834,Other Scheme,Index Funds,BANDHAN NIFTY 100 INDEX FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,150633,Other Scheme,Index Funds,BANDHAN Nifty100 Low Volatility 30 Index Fund - Regular Growth,Regular,Growth
Bandhan AMC Limited,150634,Other Scheme,Index Funds,BANDHAN Nifty100 Low Volatility 30 Index Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,150591,Other Scheme,Index Funds,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - Regular Growth,Regular,Growth
Bandhan AMC Limited,150590,Other Scheme,Index Funds,BANDHAN NIFTY200 MOMENTUM 30 INDEX FUND - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,146190,Debt Scheme,Overnight Fund,BANDHAN Overnight Fund - Direct IDCW,Direct,IDCW
Bandhan AMC Limited,146188,Debt Scheme,Overnight Fund,BANDHAN Overnight Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,147944,Equity Scheme,Small Cap Fund,BANDHAN Small Cap Fund - Regular Growth,Regular,Growth
Bandhan AMC Limited,147943,Equity Scheme,Small Cap Fund,BANDHAN Small Cap Fund - Regular IDCW,Regular,IDCW
Bandhan AMC Limited,150716,Equity Scheme,Sectoral/ Thematic,BANDHAN TRANSPORTATION AND LOGISTICS FUND - Regular Growth,Regular,Growth
